Tiempo,Carga
0.0022542476654052734,135490.0
0.12435317039489746,135485.0
0.2384321689605713,135469.0
0.3258202075958252,135512.0
0.40485239028930664,135561.0
0.5013120174407959,135578.0
0.5795612335205078,135557.0
0.6606841087341309,135514.0
0.7415392398834229,135519.0
0.8246181011199951,135604.0
0.9131832122802734,135576.0
0.9916961193084717,135554.0
1.070378065109253,135531.0
1.154858112335205,135519.0
1.2369821071624756,135545.0
1.320359230041504,135534.0
1.4039433002471924,135476.0
1.4898340702056885,135513.0
1.5751643180847168,135587.0
1.6637113094329834,135575.0
1.751432180404663,135569.0
1.8395540714263916,135589.0
1.926544189453125,135594.0
2.0110023021698,135571.0
2.1002423763275146,135617.0
2.189011335372925,135600.0
2.2760932445526123,135580.0
2.3547892570495605,135561.0
2.4335250854492188,135547.0
2.5406172275543213,135568.0
2.65165114402771,135546.0
2.762176036834717,135523.0
2.8727681636810303,135530.0
2.9831972122192383,135533.0
3.09383225440979,135569.0
3.2041921615600586,135592.0
3.315070390701294,135566.0
3.42551326751709,135567.0
3.536240339279175,135573.0
3.646726131439209,135541.0
3.757127285003662,135536.0
3.8677592277526855,135539.0
3.978428363800049,135583.0
4.08868932723999,135581.0
4.199617147445679,135563.0
4.309940338134766,135588.0
4.4166951179504395,135589.0
4.527789115905762,135553.0
4.637875318527222,135632.0
4.7487311363220215,135592.0
4.859318017959595,135562.0
4.96974515914917,135577.0
5.0802083015441895,135608.0
5.190972328186035,135576.0
5.30139422416687,135564.0
5.412057161331177,135563.0
5.522540092468262,135518.0
5.63307523727417,135557.0
5.743744134902954,135592.0
5.854223251342773,135559.0
5.964827299118042,135538.0
6.075402021408081,135556.0
6.185861110687256,135549.0
6.296479225158691,135507.0
6.403262376785278,135547.0
6.513988256454468,135552.0
6.6244800090789795,135506.0
6.735280275344849,135533.0
6.845682382583618,135563.0
6.956068277359009,135578.0
7.066845178604126,135572.0
7.177533388137817,135556.0
7.288011074066162,135573.0
7.398336172103882,135583.0
7.509043216705322,135555.0
7.619440317153931,135576.0
7.730147123336792,135567.0
7.840604305267334,135569.0
7.951162099838257,135586.0
8.061825037002563,135548.0
8.172321081161499,135534.0
8.282962322235107,135617.0
8.38972020149231,135598.0
8.500468969345093,135545.0
8.611069202423096,135597.0
8.721614122390747,135565.0
8.831965208053589,135563.0
8.942959308624268,135555.0
9.053059101104736,135558.0
9.163830041885376,135581.0
9.27434229850769,135590.0
9.384925365447998,135534.0
9.49549126625061,135589.0
9.606049060821533,135617.0
9.71658706665039,135603.0
9.826963186264038,135573.0
9.937690258026123,135556.0
10.048296213150024,135541.0
10.158782243728638,135518.0
10.2693612575531,135524.0
10.37620210647583,135566.0
10.48702621459961,135571.0
10.59714412689209,135564.0
10.707993268966675,135581.0
10.81856107711792,135611.0
10.929063320159912,135584.0
11.039575099945068,135548.0
11.150116205215454,135583.0
11.260663032531738,135559.0
11.371337413787842,135547.0
11.48181414604187,135543.0
11.592498302459717,135540.0
11.702986001968384,135526.0
11.813322067260742,135528.0
11.924138069152832,135568.0
12.034667015075684,135580.0
12.145240068435669,135555.0
12.255569219589233,135568.0
12.362712144851685,135548.0
12.473461151123047,135540.0
12.583553075790405,135576.0
12.694317102432251,135547.0
12.805030345916748,135517.0
12.915694236755371,135519.0
13.025974035263062,135575.0
13.136665105819702,135570.0
13.247154235839844,135562.0
13.35797119140625,135499.0
13.468162059783936,135505.0
13.578741073608398,135515.0
13.689464092254639,135523.0
13.799983263015747,135532.0
13.910665273666382,135537.0
14.021100044250488,135540.0
14.131395101547241,135565.0
14.242213249206543,135550.0
14.348932266235352,135526.0
14.459766149520874,135552.0
14.570064306259155,135599.0
14.680983066558838,135578.0
14.791201114654541,135595.0
14.902001142501831,135585.0
15.012322187423706,135571.0
15.122846364974976,135545.0
15.233673334121704,135561.0
15.344095230102539,135478.0
15.454651117324829,135460.0
15.565113067626953,135494.0
15.6758713722229,135512.0
15.786412239074707,135509.0
15.896995067596436,135485.0
16.007320165634155,135521.0
16.11810040473938,135560.0
16.228594303131104,135535.0
16.33539628982544,135515.0
16.446359157562256,135539.0
16.556469202041626,135503.0
16.66721820831299,135484.0
16.777862310409546,135503.0
16.888317346572876,135509.0
16.99893832206726,135541.0
17.10925817489624,135537.0
17.220055103302002,135539.0
17.33038902282715,135541.0
17.441169261932373,135558.0
17.551629066467285,135572.0
17.662177085876465,135578.0
17.772741317749023,135506.0
17.883461236953735,135492.0
17.99395728111267,135518.0
18.104451179504395,135545.0
18.215079307556152,135530.0
18.321782112121582,135542.0
18.43247413635254,135549.0
18.54316806793213,135558.0
18.65357804298401,135535.0
18.76413106918335,135539.0
18.874584197998047,135544.0
18.98536229133606,135574.0
19.09577703475952,135537.0
19.206493377685547,135512.0
19.31706213951111,135521.0
19.427337408065796,135501.0
19.538084268569946,135470.0
19.648630142211914,135535.0
19.759151220321655,135555.0
19.8698890209198,135539.0
19.980237245559692,135532.0
20.090665340423584,135538.0
20.20144820213318,135566.0
20.307923316955566,135533.0
20.419053077697754,135522.0
20.529377222061157,135538.0
20.64015221595764,135558.0
20.750730991363525,135525.0
20.86128830909729,135557.0
20.971796989440918,135563.0
21.08218026161194,135494.0
21.192957162857056,135497.0
21.303380250930786,135498.0
21.41402816772461,135530.0
21.524359226226807,135551.0
21.637264251708984,135531.0
21.74552607536316,135557.0
21.855852127075195,135514.0
21.966816186904907,135501.0
22.077210187911987,135520.0
22.187894105911255,135582.0
22.294568300247192,135547.0
22.405516147613525,135503.0
22.515780210494995,135576.0
22.626615047454834,135544.0
22.737080097198486,135534.0
22.847726106643677,135574.0
22.958126068115234,135507.0
23.06876230239868,135503.0
23.17918634414673,135522.0
23.28992009162903,135494.0
23.400472164154053,135523.0
23.51079821586609,135546.0
23.62146830558777,135506.0
23.73212432861328,135487.0
23.842604160308838,135565.0
23.9531991481781,135549.0
24.063785314559937,135537.0
24.174241065979004,135548.0
24.281378030776978,135551.0
24.39190411567688,135524.0
24.502455234527588,135525.0
24.612985134124756,135498.0
24.723541021347046,135453.0
24.83396625518799,135484.0
24.944636344909668,135516.0
25.055082082748413,135484.0
25.165935277938843,135515.0
25.276300191879272,135497.0
25.38687515258789,135454.0
25.49733018875122,135504.0
25.60800313949585,135525.0
25.718597173690796,135490.0
25.829052209854126,135533.0
25.939651250839233,135515.0
26.050116300582886,135530.0
26.16059112548828,135523.0
26.2674241065979,135520.0
26.378377199172974,135538.0
26.488887071609497,135516.0
26.599435091018677,135536.0
26.709885358810425,135525.0
26.82044816017151,135496.0
26.931097269058228,135477.0
27.041577339172363,135497.0
27.152210235595703,135500.0
27.26270627975464,135456.0
27.373383283615112,135469.0
27.48385715484619,135480.0
27.594184398651123,135488.0
27.705021381378174,135499.0
27.815478086471558,135464.0
27.926106214523315,135508.0
28.036554098129272,135523.0
28.147123336791992,135514.0
28.257774114608765,135539.0
28.36474323272705,135464.0
28.475106239318848,135429.0
28.585508108139038,135416.0
28.696356296539307,135453.0
28.80696439743042,135460.0
28.91758108139038,135474.0
29.027839183807373,135479.0
29.13851022720337,135504.0
29.249080181121826,135481.0
29.359670162200928,135463.0
29.47024631500244,135433.0
29.580843210220337,135446.0
29.69128441810608,135454.0
29.80197024345398,135512.0
29.91255235671997,135484.0
30.02304720878601,135498.0
30.133591175079346,135541.0
30.24410915374756,135496.0
30.351046323776245,135506.0
30.46170926094055,135502.0
30.572115182876587,135514.0
30.682886123657227,135460.0
30.793212175369263,135447.0
30.90393614768982,135458.0
31.014416217803955,135464.0
31.124755382537842,135455.0
31.23563313484192,135471.0
31.34595036506653,135492.0
31.45668315887451,135426.0
31.567163228988647,135458.0
31.67784023284912,135487.0
31.788376092910767,135449.0
31.898656129837036,135514.0
32.00939416885376,135523.0
32.11998534202576,135479.0
32.23058319091797,135453.0
32.337653160095215,135484.0
32.448124170303345,135463.0
32.558722257614136,135452.0
32.6690411567688,135478.0
32.7797954082489,135456.0
32.8900830745697,135465.0
33.00097417831421,135478.0
33.11131715774536,135451.0
33.22190833091736,135477.0
33.332643270492554,135479.0
33.44299817085266,135452.0
33.55376935005188,135448.0
33.6640682220459,135511.0
33.77473306655884,135526.0
33.885406255722046,135489.0
33.9958713054657,135459.0
34.10648822784424,135493.0
34.216846227645874,135455.0
34.32385730743408,135432.0
34.43443417549133,135461.0
34.544817209243774,135440.0
34.6554811000824,135451.0
34.76621723175049,135444.0
34.87680721282959,135421.0
34.98735308647156,135446.0
35.0977840423584,135483.0
35.20846223831177,135441.0
35.31874418258667,135461.0
35.42963099479675,135507.0
35.539921283721924,135546.0
35.65063714981079,135516.0
35.761242151260376,135431.0
35.871636390686035,135431.0
35.98237228393555,135466.0
36.09266519546509,135471.0
36.20342397689819,135472.0
36.310041189193726,135445.0
36.42107319831848,135444.0
36.53145909309387,135444.0
36.64223909378052,135462.0
36.75270223617554,135448.0
36.86295127868652,135435.0
36.973926305770874,135463.0
37.08419418334961,135488.0
37.19474935531616,135482.0
37.3053560256958,135468.0
37.41576910018921,135472.0
37.52662920951843,135436.0
37.63688826560974,135444.0
37.74767732620239,135446.0
37.85822415351868,135445.0
37.96857714653015,135431.0
38.07934212684631,135457.0
38.189502239227295,135491.0
38.29689025878906,135497.0
